Time Series,R2,R2_Adj,AIC,BIC
TS1,-0.00000,-0.00402,11533.20474,11565.08406
TS2,-0.00063,-0.00465,14113.60306,14145.48239
TS3,0.49541,0.49338,9283.69842,9315.57775
TS4,0.99150,0.99146,4004.96085,4036.84017
TS5,-0.00000,-0.00402,12830.61753,12862.49685
TS6,0.99892,0.99892,1591.88934,1623.76866
TS7,0.76255,0.76160,4361.00133,4392.88065
TS8,0.99897,0.99896,-473.64813,-441.76881
TS9,-0.00000,-0.00402,13430.47935,13462.35867
TS10,-0.00001,-0.00402,11952.15119,11984.03051
TS11,-0.00001,-0.00403,13473.58251,13505.46183
TS12,-0.00000,-0.00402,5264.25798,5296.13731
TS13,0.88581,0.88535,6192.60543,6224.48475
TS14,0.95903,0.95886,2536.85731,2568.73663
TS15,0.89957,0.89916,6831.35978,6863.23911
TS16,0.88003,0.87955,7793.96310,7825.84242
TS17,-0.00003,-0.00404,10689.83442,10721.71374
TS18,-0.00020,-0.00422,12447.13973,12479.01906
TS19,-0.00000,-0.00402,10740.99640,10772.87573
TS20,0.93483,0.93457,5132.31686,5164.19619
TS21,0.93995,0.93971,8380.37771,8412.25703
TS22,-0.00002,-0.00404,6745.82783,6777.70715
TS23,0.89395,0.89352,8158.97675,8190.85608
TS24,0.98502,0.98496,-2042.65421,-2010.77489
TS25,0.19452,0.19128,1659.59577,1691.47509
TS26,-0.00340,-0.00744,9339.72090,9371.60023
TS27,0.96333,0.96318,6181.90350,6213.78282
TS28,-0.00000,-0.00402,14097.12332,14129.00264
TS29,0.99875,0.99875,4060.48233,4092.36165
TS30,0.11007,0.10649,14122.22227,14154.10159
TS31,0.99498,0.99496,3246.78351,3278.66283
TS32,-0.00000,-0.00402,10280.44829,10312.32761
TS33,-0.00000,-0.00402,4887.04786,4918.92719
TS34,0.99724,0.99723,2036.92928,2068.80860
TS35,-0.00127,-0.00530,12091.11111,12122.99044
TS36,0.98318,0.98311,7464.72892,7496.60825
TS37,0.98270,0.98263,2648.23550,2680.11483
TS38,0.99840,0.99839,-151.41522,-119.53590
TS39,0.99444,0.99442,3661.99019,3693.86951
TS40,-0.00004,-0.00406,13488.04331,13519.92263
TS41,0.87858,0.87809,8634.46380,8666.34312
TS42,0.97364,0.97354,8848.13713,8880.01645
TS43,0.99595,0.99594,2978.00081,3009.88013
TS44,-0.00131,-0.00533,11984.80762,12016.68694
TS45,0.92013,0.91981,6347.98013,6379.85946
TS46,0.94380,0.94358,7005.45245,7037.33177
TS47,0.04105,0.03720,11899.40875,11931.28807
TS48,0.25097,0.24796,10312.87439,10344.75371
TS49,-0.00140,-0.00543,12514.51806,12546.39738
TS50,-0.00057,-0.00459,13980.38230,14012.26162
TS51,-0.00007,-0.00409,13347.72115,13379.60047
TS52,-0.00002,-0.00404,9789.33330,9821.21262
TS53,0.88683,0.88638,8875.43495,8907.31427
TS54,0.98434,0.98428,3907.80755,3939.68687
TS55,-0.00032,-0.00434,13727.42740,13759.30672
TS56,-0.00000,-0.00402,11182.07467,11213.95399
TS57,0.99913,0.99912,1767.92536,1799.80469
TS58,-0.00003,-0.00404,9261.49410,9293.37342
TS59,-0.00026,-0.00428,12760.51675,12792.39607
TS60,0.99901,0.99900,-94.09299,-62.21367
TS61,0.09455,0.09091,2420.50380,2452.38312
TS62,-0.00012,-0.00414,12307.95060,12339.82992
TS63,-0.00000,-0.00402,5632.07439,5663.95372
TS64,0.95181,0.95161,7841.10958,7872.98891
TS65,0.46284,0.46068,10818.20891,10850.08824
TS66,0.54989,0.54808,9238.23522,9270.11454
TS67,0.99275,0.99272,1798.72008,1830.59940
TS68,0.98731,0.98726,3613.36632,3645.24564
TS69,-0.00000,-0.00402,11427.39705,11459.27637
TS70,0.94138,0.94114,8452.60996,8484.48929
TS71,0.99387,0.99384,2484.32448,2516.20380
TS72,0.86841,0.86788,10145.28949,10177.16882
TS73,0.31584,0.31309,12998.55042,13030.42975
TS74,0.79491,0.79408,5143.06320,5174.94252
TS75,0.02106,0.01713,13016.89677,13048.77610
TS76,0.24641,0.24338,13942.93162,13974.81094
TS77,0.99798,0.99797,4064.70507,4096.58439
TS78,-0.00000,-0.00402,13906.13580,13938.01512
TS79,-0.00012,-0.00414,12917.57394,12949.45326
TS80,0.98222,0.98215,5696.63125,5728.51057
TS81,-0.00000,-0.00402,9352.57351,9384.45283
TS82,0.99582,0.99580,5204.39511,5236.27443
TS83,0.83709,0.83644,6555.96630,6587.84562
TS84,-0.00000,-0.00402,11469.85001,11501.72933
TS85,0.98648,0.98643,4704.21123,4736.09055
TS86,-0.00000,-0.00402,6292.44033,6324.31965
TS87,0.20951,0.20633,13147.47457,13179.35390
TS88,0.96992,0.96980,5489.22440,5521.10373
TS89,-0.00000,-0.00402,8731.08384,8762.96316
TS90,-0.00000,-0.00402,12264.81276,12296.69208
TS91,-0.00001,-0.00402,11067.84700,11099.72632
TS92,0.99966,0.99966,1340.08125,1371.96057
TS93,-0.00000,-0.00402,10357.82537,10389.70469
TS94,-0.00000,-0.00402,11313.67592,11345.55524
TS95,-0.00000,-0.00402,12089.61474,12121.49406
TS96,-0.00014,-0.00416,12670.99351,12702.87283
TS97,0.98108,0.98101,5226.80922,5258.68855
TS98,0.75286,0.75186,7618.04939,7649.92871
TS99,0.90758,0.90721,2136.15165,2168.03098
TS100,0.92701,0.92672,8952.12026,8983.99959
